questions,answers
is transport facilities available in ned and how many transport vans or buses available,Yes transport service is available in NED and there are total 16 shuttle numbers available.
is transport fee same for all the areas,There are different point numbers for different areas. Point fee is same for all areas.
what is the transport fee ,NED monthly point fee is Rs. 800
what is the full form of SE,Software Engineering
what is the full form of CT,Computer Science
what is the full form of ME,Mechanical Engineering
what is the full form of CS,Computer Systems Engineering
what is the full form of EE,Electrical Engineering
what is the full form of CH,Chemical Engineering
what is the full form of IM,Industrial & Manufacturing Engineering
what is the full form of EL,Electronic Engineering
what is the full form of CE,Civil Engineering
what is the full form of TE,Textile Engineering
what is the full form of CN,Civil Engineering (Specialized in Construction)
what is the full form of AU,Automotive Engineering
what is the full form of PE,Petroleum Engineering
what is the full form of TC,Telecommunications Engineering
what is the full form of PP,Polymer & Petrochemical Engineering
what is the full form of FD,Food Engineering
what is the full form of AR,Architecture
what is the full form of MM,Materials Engineering
what is the full form of MY,Metallurgical Engineering
what is the full form of UE,Urban Engineering
what is the full form of CF,Computational Finance
what is the full form of MG,Management Sciences
what is the full form of IC,Industrial Chemistry
what is the full form of TS,Textile Sciences
what is the full form of DS,Development Studies
what is the full form of EG,English Linguistics
what is the full form of EC,Economics & Finance
what is the full form of AP,Applied Physics
why do i choose computer system engineering ,A degree in computer engineering gives you the foundational skills needed to pursue a career in coding or computer programming. It gives you a good understanding of the theory behind the processes involved in creating computer programs and applications.
why do i choose electrical engineering,"Electrical and electronic engineers work at the forefront of practical technology, improving the devices and systems we use every day. From solar-energy systems to mobile phones, we innovate to meet society's communication, tech and energy needs."
why do i choose mechanical engineering,"If you have a passion for Mathematics and Physics, you can choose to study mechanical engineering because it will help sharpen your skills in the design, research and manufacturing of equipment, aircraft and other vehicles. It will also hone your analytical and logical thinking skills."
why do i choose civil engineering,Civil engineering makes a tangible difference to people's lives. This has to be the number one reason why civil engineers believe their chosen career is the best. Many of the projects they work on are for the benefit of the general public and local communities.
why do i choose urban engineering,"Urban Engineers provide physical definition of the urban habitat, by planning, designing, building/constructing, operating and maintaining the infrastructure including buildings and roads. The development of sustainable and functionally dependable urban habitats is the need of community. "
why do i choose electronic engineering,"Electrical and electronic engineers work at the forefront of practical technology, improving the devices and systems we use every day. From solar-energy systems to mobile phones, we innovate to meet society's communication, tech and energy needs."
what kind of documents required to take an admission in engineering ,"Attested Photocopies of Admit Card of NED UET Pre-Admission Entry Test, S.S.C or Equivalent Certificate, S.S.C or Equivalent Marks Certificate and CNIC / B. FORM. Original documents that are to be retained by NED UET are HSC or Equivalent Mark Certificate, IBCC Equivalent Certificate (For Foreign Board), Domicile, Affidavit of non-political activities, Photographs (06) see Photograph guideline for details, Admission Form (Please take the print out of these annexures from Admission Portal, fill it completely and signed). If applicable Migration Certificate (Other than Karachi Board)."
what kind of attested documents needs to be submitted  before the admission ,"Attested Photocopies of Admit Card of NED UET Pre-Admission Entry Test, S.S.C or Equivalent Certificate, S.S.C or Equivalent Marks Certificate and CNIC / B. FORM. "
when the classes of undergraduate start,Mid of October
What is the pattern of semester exams ? Are they taken on computers like the entry test?,Semester exams are not computer based. They are hand written.
Which university is the best for computer science,"According to recent rankings top 5 computer science universities in Pakistan are COMSATS Institute of Information Technology, National University of Science and Technology, Islamabad, Islamia College Peshawar, International Islamic University, Bahauddin Zakariya University"
Can I get admission in bed on 62 aggregate,"The admission policy at NED University is an open merit scheme. Students with the higher numbers can choose any department, therefore as the number of students pick their seats, the departmental quotas started finishing and that is how the eligibility criteria is determined. It means that one cannot predict exactly how much numbers are required to get into a particular department, because this criteria is decided by the students of that particular year. Apart from open-merit system there are Self-Financing seats too, but there is also pretty healthy competition, which means you will still have to score better numbers."
Should we go for scope or interest?,"The scope of your career cannot define your success in that career. Choose a field where your heart lies and the scope will be created for it over time. When we choose the field we love, enjoy and have an interest in, we would not bunk to work or study in that desired field instead work harder and perform our best."
Criteria,"The admission policy at NED University is an open merit scheme. Students with the higher numbers can choose any department, therefore as the number of students pick their seats, the departmental quotas started finishing and that is how the eligibility criteria is determined. It means that one cannot predict exactly how much numbers are required to get into a particular department, because this criteria is decided by the students of that particular year. Apart from open-merit system there are Self-Financing seats too, but there is also pretty healthy competition, which means you will still have to score better numbers."
In Pakistan do we have scope in cs?,The scope of computer science in Pakistan is very high. It is factually narrating the fact that developers design and put into development what a user image and think. This is simply the beauty of computer science that teaches developers and programmers to construct what we desire.
according to scope in Pakistan which field to choose? CS or chemical engineering?,Chemical engineering has greater scope in Pakistan as compare to computer science.
